date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:41	130900/130900	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2013:25:46%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/index.html	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/index.html	(from )
11:28:41	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Sep%202025%2017:27:37%20GMT	https://weblayout.mnsithub.com/robots.txt		(from )
11:28:41	30393/30393	---M--	200	added ('OK')	image/png	date:Thu,%2022%20May%202025%2022:26:14%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/apple-touch-icon.png	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/apple-touch-icon.png	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:42	2005/2005	---M--	200	added ('OK')	image/png	date:Thu,%2022%20May%202025%2022:26:14%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/favicon-32x32.png	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/favicon-32x32.png	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:42	777/777	---M--	200	added ('OK')	image/png	date:Thu,%2022%20May%202025%2022:26:14%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/favicon-16x16.png	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/favicon-16x16.png	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:43	263/263	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2022%20May%202025%2022:26:14%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/site.webmanifest	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/images/favicons/site.webmanifest	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:43	207187/207187	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2013:00:38%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/css/bootstrap.min.css	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/css/bootstrap.min.css	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:43	83884/83884	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2005:14:10%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/css/animate.min.css	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/css/animate.min.css	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:43	17645/17645	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202024%2011:35:42%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/css/custom-animate.css	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/css/custom-animate.css	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
11:28:43	13689/13689	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:18%20GMT	https://weblayout.mnsithub.com/html/fixpro/main-html/assets/css/swiper.min.css	C:/Users/Administrator/Desktop/safetynew-v1/weblayout.mnsithub.com/html/fixpro/main-html/assets/css/swiper.min.css	(from https://weblayout.mnsithub.com/html/fixpro/main-html/index.html)
